aircraft_id,tail_number,manufacturer,model,age
1,N410WN,BOEING,737 NG,23
2,N977JE,AIRBUS,A321,6
3,N323SG,BOEING,737 NG,5
4,N502AE,CANADAIR REGIONAL JET,CRJ,23
5,N13227,BOEING,737 NG,25
6,N643RW,EMBRAER,170/175,19
7,N556WN,BOEING,737 NG,13
8,N668DN,BOEING,757,33
9,N818UA,AIRBUS,A319,26
10,N949NK,AIRBUS,A320,3
11,N87527,BOEING,737 NG,14
12,N21108,BOEING,757,30
13,N7862A,BOEING,737 NG,19
14,N974AK,BOEING,737 NG,5
15,N224UA,BOEING,777,23
16,N719AN,BOEING,777,12
17,N924WN,BOEING,737 NG,16
18,N978SW,CANADAIR REGIONAL JET,CRJ,20
19,N7724A,BOEING,737 NG,15
20,N536JB,AIRBUS,A320,22
21,N660UA,BOEING,767,31
22,N354CA,CANADAIR REGIONAL JET,CRJ,22
23,N923VA,AIRBUS,A321,7
24,N68807,BOEING,737 NG,11
25,N8625A,BOEING,737 NG,10
26,N343RY,BOEING,737 NG,5
27,N277NV,AIRBUS,A320,17
28,N8802Q,BOEING,737 NG,5
29,N326DN,AIRBUS,A321,7
30,N766US,AIRBUS,A319,24
31,N3750D,BOEING,737 NG,23
32,N697NK,AIRBUS,A320,14
33,N942WN,BOEING,737 NG,15
34,N184SY,EMBRAER,170/175,8
35,N952AT,BOEING,717,24
36,N461UA,AIRBUS,A320,24
37,N166NN,AIRBUS,A321,8
38,N24702,BOEING,737 NG,26
39,N375JB,EMBRAER,190/195,11
40,N360NB,AIRBUS,A319,21
41,N814NW,AIRBUS,A330,18
42,N332NW,AIRBUS,A320,32
43,N546UW,AIRBUS,A321,13
44,N910XJ,CANADAIR REGIONAL JET,CRJ,17
45,N341PQ,CANADAIR REGIONAL JET,CRJ,10
46,N938AT,BOEING,717,18
47,N7723E,BOEING,737 NG,18
48,N107HQ,EMBRAER,170/175,17
49,N8742M,BOEING,737 NG,5
50,N66893,BOEING,737 NG,8
51,N8761L,BOEING,737 NG,2
52,N559JB,AIRBUS,A320,22
53,N362FR,AIRBUS,A320,5
54,N907AN,BOEING,737 NG,25
55,N992JB,AIRBUS,A321,6
56,N876AS,CANADAIR REGIONAL JET,CRJ,22
57,N8624J,BOEING,737 NG,10
58,N743SK,CANADAIR REGIONAL JET,CRJ,19
59,N531NK,AIRBUS,A319,17
60,N8728Q,BOEING,737 NG,6
61,N741EV,CANADAIR REGIONAL JET,CRJ,20
62,N2039J,AIRBUS,A321,4
63,N2044J,AIRBUS,A321,4
64,N8543Z,BOEING,737 NG,7
65,N516DA,AIRBUS,A321,2
66,N286SY,EMBRAER,170/175,6
67,N8537Z,BOEING,737 NG,7
68,N732US,AIRBUS,A319,24
69,N391FR,AIRBUS,A320,2
70,N7832A,BOEING,737 NG,21
71,N770SA,BOEING,737 NG,24
72,N8693A,BOEING,737 NG,8
73,N840AW,AIRBUS,A319,18
