airport_id,airport_code,city_name
1,APN,"Alpena, MI"
2,CRP,"Corpus Christi, TX"
3,IAD,"Washington, DC"
4,HYS,"Hays, KS"
5,GSO,"Greensboro/High Point, NC"
6,LBL,"Liberal, KS"
7,ATL,"Atlanta, GA"
8,DEC,"Decatur, IL"
9,OAJ,"Jacksonville/Camp Lejeune, NC"
10,MQT,"Marquette, MI"
11,SHV,"Shreveport, LA"
12,AZA,"Phoenix, AZ"
13,KTN,"Ketchikan, AK"
14,GCK,"Garden City, KS"
15,LCK,"Columbus, OH"
16,FLG,"Flagstaff, AZ"
17,JAX,"Jacksonville, FL"
18,HGR,"Hagerstown, MD"
19,SJT,"San Angelo, TX"
20,ORF,"Norfolk, VA"
21,CNY,"Moab, UT"
22,ASE,"Aspen, CO"
23,PIB,"Hattiesburg/Laurel, MS"
24,HSV,"Huntsville, AL"
25,CIU,"Sault Ste. Marie, MI"
26,DDC,"Dodge City, KS"
27,LNK,"Lincoln, NE"
28,CHS,"Charleston, SC"
29,HHH,"Hilton Head, SC"
30,SFO,"San Francisco, CA"
31,ADQ,"Kodiak, AK"
32,FWA,"Fort Wayne, IN"
33,BTR,"Baton Rouge, LA"
34,OKC,"Oklahoma City, OK"
35,MIA,"Miami, FL"
36,FAR,"Fargo, ND"
37,JMS,"Jamestown, ND"
38,BZN,"Bozeman, MT"
39,PIT,"Pittsburgh, PA"
40,LAW,"Lawton/Fort Sill, OK"
41,OMA,"Omaha, NE"
42,SCK,"Stockton, CA"
43,EYW,"Key West, FL"
44,CMI,"Champaign/Urbana, IL"
45,BQK,"Brunswick, GA"
46,OME,"Nome, AK"
47,BRW,"Barrow, AK"
48,SUX,"Sioux City, IA"
49,ELP,"El Paso, TX"
50,SGU,"St. George, UT"
51,COD,"Cody, WY"
52,GJT,"Grand Junction, CO"
53,STX,"Christiansted, VI"
54,MOB,"Mobile, AL"
55,OTZ,"Kotzebue, AK"
56,LBF,"North Platte, NE"
57,BFF,"Scottsbluff, NE"
58,PSE,"Ponce, PR"
59,DVL,"Devils Lake, ND"
60,LRD,"Laredo, TX"
61,MLI,"Moline, IL"
62,MKE,"Milwaukee, WI"
63,ESC,"Escanaba, MI"
64,BOS,"Boston, MA"
65,SMX,"Santa Maria, CA"
66,GNV,"Gainesville, FL"
67,DAY,"Dayton, OH"
68,JFK,"New York, NY"
69,RIC,"Richmond, VA"
70,PBG,"Plattsburgh, NY"
71,CAK,"Akron, OH"
72,BIS,"Bismarck/Mandan, ND"
73,OTH,"North Bend/Coos Bay, OR"
74,BWI,"Baltimore, MD"
75,PSG,"Petersburg, AK"
76,DHN,"Dothan, AL"
77,RDM,"Bend/Redmond, OR"
